start	end	text
198000	199000	for all those students,
199000	201000	whose studies are in a bad state,
201000	202000	in a very bad state,
202000	204000	whose preparation is not at all,
204000	206000	whose preparation is in a very bad state,
206000	207000	but in the mind and in the heart,
207000	208000	seriously,
208000	209000	limited time you have,
209000	210000	actually,
210000	211000	you have very limited time,
211000	212000	very limited time,
212000	213000	and there is still time,
213000	214000	otherwise it will be an exam,
214000	215000	after that,
215000	216000	you will feel bad,
216000	217000	that it was time,
217000	218000	sir told us,
218000	219000	we will not go,
219000	221000	I mean, you have 10 to 12 hours per day,
221000	223000	now, what should be our plan in this,
223000	224000	the question is,
224000	225000	what is the plan,
225000	226000	sir, he understood that
226000	227000	there is less time,
227000	228000	we all realized that,
228000	229000	there is less time,
229000	230000	there is limited time,
230000	231000	we also understood that,
231000	233000	there will be a lot of children from us,
233000	235000	who will jump and go ahead,
235000	236000	this is also true,
236000	237000	I will not go,
237000	238000	so, the one who will watch this video,
238000	239000	someone else will go,
239000	240000	this is right,
240000	242000	that there are a lot of seats,
242000	243000	empty here,
243000	244000	which will fill,
244000	245000	there is a lot of empty space here,
245000	247000	there are a lot of empty boxes,
247000	248000	there are a lot of empty boxes,
248000	250000	there is a lot of space here,
250000	251000	so, definitely,
251000	253000	a lot of children will jump and come,
253000	254000	if I will not come,
254000	255000	someone else will come,
255000	256000	what is the plan,
256000	257000	how should I do this,
257000	258000	how should I organize my day,
258000	259000	what should I do,
259000	260000	what is the plan,
260000	262000	sir, we make a little plan from here,
262000	263000	we make a plan from here,
263000	266000	I will not make false promises here,
266000	268000	so, this is how all the videos are on YouTube,
268000	270000	we will have to talk practically,
270000	274000	that how we believe our 10 to 12 hours per day,
274000	276000	so, the first thing I believe,
276000	279000	that we have to cover the full syllabus from here,
279000	282000	I believe that we have to cover the full syllabus,
282000	285000	we have to cover the complete syllabus from here,
285000	286000	now, look at the time,
286000	288000	it will be better than the full syllabus,
288000	290000	that I break the syllabus into two parts,
290000	292000	the first part will be,
292000	294000	that I should do those topics,
294000	295000	part one,
295000	297000	I should do those 21% topics,
297000	299000	I should do the most important topics,
299000	301000	I should take important concepts,
301000	303000	I should solve the most important problems,
303000	306000	from which I should become 80% questions,
306000	308000	now, the decision of the understanding will be the same,
308000	311000	if I think from chapter 1 to chapter 30,
311000	313000	I will do all the books,
313000	314000	then it is not possible,
314000	316000	first of all, what should I do,
316000	317000	the most important,
317000	319000	all my high-weighted people,
319000	321000	first of all, I should finish this,
321000	323000	my high-weighted chapters,
323000	325000	I should finish this first,
325000	327000	how will we finish the high-weighted chapters,
327000	328000	for this,
328000	329000	I tell you,
329000	331000	that in a day,
331000	333000	look at the lecture of 6R,
333000	334000	6R lecture,
334000	336000	I have so much time in a day,
336000	338000	it is 10 to 12 hours,
338000	339000	let's suppose,
339000	341000	that we are studying for 10 to 12 hours,
341000	342000	first of all,
342000	344000	we will look at the lecture of 6R,
344000	345000	you do not have any time,
345000	347000	that you look at the live lecture,
347000	348000	your time is wasted,
348000	349000	chat,
349000	350000	completely focused,
350000	351000	completely focused,
351000	353000	we have to look at 6 hours,
353000	356000	and this we have to do for next 60 days,
356000	357000	in these 60 days,
357000	359000	I should cover all this,
359000	360000	first of all,
360000	362000	80% boss labels,
362000	363000	where all the questions are,
363000	365000	where the maximum questions are,
365000	367000	6 hours have passed in the lecture,
367000	368000	now it is possible,
368000	369000	that someone has 6 hours,
369000	370000	someone has 8 hours,
370000	371000	the remaining time,
371000	372000	I assume,
372000	373000	after this,
373000	375000	someone has 6R,
375000	377000	someone has 4R,
377000	378000	and practically,
378000	379000	someone has 2R,
379000	380000	now,
380000	382000	the remaining time,
382000	384000	you have to do practice,
384000	385000	and revision,
385000	386000	I should cover this,
386000	387000	I should cover this,
387000	389000	day 1 to day 60,
389000	391000	cover high-weighted chapters,
391000	393000	which are the most important chapters,
393000	395000	we will solve those 80% questions,
395000	396000	first of all,
396000	397000	sometimes,
397000	398000	we have done the class,
398000	399000	we have got the homework sheet,
399000	400000	we have got the DPP,
400000	401000	we don't have to do the questions,
401000	402000	in the morning,
402000	403000	6 o'clock has passed,
403000	404000	7 o'clock has passed,
404000	405000	8 o'clock has passed,
405000	406000	whatever is your time,
406000	407000	after 8 o'clock,
407000	408000	I have finished this,
408000	409000	after that,
409000	410000	PYQs,
410000	411000	you will have to make your own
411000	412000	mistake notebook,
412000	413000	son,
413000	414000	where is the mistake,
414000	415000	when you have to solve the questions,
415000	417000	this mistake notebook will be very useful,
417000	419000	we will practice PYQs well,
419000	421000	and we will revise our mistake notebook,
421000	422000	we will revise it,
422000	423000	remember me,
423000	424000	now,
424000	426000	you have 10 to 12 hours in a day,
426000	427000	I am thinking of 24 hours,
427000	428000	since I woke up,
428000	429000	it has been 10 to 12 hours,
429000	430000	I have done a lot of work,
430000	431000	I don't sleep,
431000	432000	I don't wake up,
432000	433000	I don't eat,
433000	434000	there are such things already,
434000	435000	if you think,
435000	436000	I will do 1,
436000	437000	I will do 2,
437000	438000	I will do 3,
438000	439000	I will do 4,
439000	440000	I will do 1,
440000	441000	I will do 2,
441000	442000	I will talk to friends,
442000	443000	I will do 3,
443000	444000	I will run my mobile,
444000	445000	I will do 4,
445000	446000	I will go to the wedding,
446000	447000	I will go to the functions,
447000	448000	I will do 5th,
448000	449000	I will have fun with my younger brother,
449000	450000	not possible at all,
450000	451000	it is still possible,
451000	452000	son, it is possible,
452000	453000	the world says,
453000	454000	spread as much as you can,
454000	455000	spread as much as you can,
455000	456000	I did not listen to the world,
456000	457000	that is why,
457000	458000	I think I could do something,
458000	459000	I say,
459000	460000	there are shops in the market,
460000	461000	there are shops of all chadars,
461000	462000	we will buy all the chadars,
462000	463000	and spread a lot,
463000	465000	we will see our dreams bigger,
465000	467000	one day our dreams will be bigger than our dreams,
467000	468000	do something like this,
468000	469000	in life,
469000	470000	that once,
470000	471000	it happens that
471000	472000	India is watching you,
472000	473000	leaving your work,
